8.0.1123925625.1|[121,-77,-39,-12,39,-2,-4,-2,1]
8.0.1130640625.1|[361,-38,-109,51,14,3,-1,-1,1]
8.0.1133693125.1|[4,4,7,-13,19,-9,8,-2,1]
8.0.1143318969.1|[4,-10,13,-22,24,-2,-2,-2,1]
8.0.1212153856.10|[16,0,-16,0,10,0,-4,0,1]
8.0.1230045184.5|[49,0,106,0,63,0,14,0,1]
8.0.1234538496.2|[241,-282,394,-242,167,-58,24,-4,1]
8.0.1235663104.1|[9,0,4,0,18,0,-3,0,1]
8.0.1262878369.1|[16,-8,-12,4,5,2,-3,-1,1]
8.0.1262878369.2|[16,-24,12,0,-3,0,3,-3,1]
8.0.1262878369.3|[16,0,-12,-2,7,-1,-3,0,1]
8.0.1305015625.1|[256,64,80,36,29,-9,5,-1,1]
8.0.1333760000.1|[9,-6,23,-12,14,-10,10,-4,1]
8.0.1344511949.1|[2,-3,6,17,8,0,4,-1,1]
8.0.1382575489.1|[16,-24,28,-26,21,-13,7,-3,1]
8.0.1394947801.1|[9,0,32,0,34,0,11,0,1]
8.0.1405125225.1|[49,-49,-7,-28,43,-2,-4,-2,1]
8.0.1405125225.2|[81,0,-63,0,25,0,-7,0,1]
8.0.1428533677.1|[7,-1,20,1,12,-5,2,0,1]
8.0.1499238400.2|[5,-26,54,-66,59,-34,16,-4,1]
8.0.1510410496.4|[13,36,30,4,-8,2,7,-4,1]
8.0.1544804416.1|[4,0,46,0,39,0,11,0,1]
8.0.1623525849.1|[16,-28,17,-40,46,-2,-4,-2,1]
8.0.1667028688.1|[2,-12,31,-47,47,-31,15,-4,1]
8.0.1750240993.1|[16,-8,12,-2,3,-1,3,-1,1]
8.0.1766100625.1|[1,0,15,0,48,0,15,0,1]
8.0.1768034304.4|[49,-14,-31,18,14,-6,-1,-2,1]
8.0.1794086993.1|[16,-8,4,0,-5,0,1,-1,1]
8.0.1802913125.1|[9,-15,14,-26,27,-13,9,-2,1]
8.0.1822330625.1|[16,-8,4,-6,5,-3,1,-1,1]
8.0.1834580224.3|[5,-24,53,-68,60,-34,16,-4,1]
8.0.1898257761.1|[4,0,19,0,26,0,11,0,1]
8.0.1900960000.6|[81,0,-81,0,37,0,-9,0,1]
8.0.1927340725.1|[7,9,14,-5,-2,-4,4,-1,1]
8.0.1949393141.1|[7,-26,52,-61,54,-31,15,-4,1]
8.0.1989873664.3|[4,8,54,4,15,-2,7,-2,1]
8.0.1995351329.1|[16,0,8,-2,7,-1,2,0,1]
8.0.1997017344.1|[1,2,2,-8,23,8,2,-2,1]
8.0.2051727616.3|[4,0,36,0,37,0,11,0,1]
8.0.2071040000.1|[9,-30,59,-68,60,-34,16,-4,1]
8.0.2071948309.1|[7,-3,16,6,14,-2,5,-1,1]
8.0.2074455101.1|[11,-20,44,-48,31,-17,9,-3,1]
8.0.2079503696.1|[2,-12,32,-49,48,-31,15,-4,1]
8.0.2091141441.1|[81,-27,9,9,-15,3,1,-1,1]
8.0.2113057024.3|[16,0,-4,0,5,0,-1,0,1]
8.0.2136148933.1|[11,7,32,-1,11,-8,1,-1,1]
8.0.2136658176.4|[625,-500,125,40,-44,8,5,-4,1]
8.0.2144374784.1|[16,-16,12,-8,6,-4,3,-2,1]
8.0.2147483648.1|[2,0,16,0,20,0,8,0,1]
8.0.2155122688.1|[7,2,21,-36,36,-22,12,-4,1]
8.0.2171225457.1|[16,-24,28,-26,19,-13,7,-3,1]
8.0.2200735744.5|[16,-16,4,8,-10,4,1,-2,1]
8.0.2209822873.1|[16,-8,16,-12,9,-6,4,-1,1]
8.0.2225093125.1|[5,-20,44,-57,52,-31,15,-4,1]
8.0.2364390625.1|[841,-319,-81,-53,54,-11,1,-2,1]
8.0.2367503649.1|[16,-8,4,4,-3,2,1,-1,1]
8.0.2385443281.2|[17,-34,123,-2,-38,-4,1,0,1]
8.0.2487222272.11|[49,-28,6,24,-3,-8,10,-4,1]
8.0.2488192677.1|[5,-8,19,3,0,0,5,-2,1]
8.0.2522550625.1|[4,10,-11,-46,52,-18,14,-2,1]
8.0.2556625625.1|[16,-16,16,-14,13,-7,4,-2,1]
8.0.2569273344.8|[484,0,0,0,56,0,0,0,1]
8.0.2621440000.1|[4,0,24,0,30,0,12,0,1]
8.0.2627997696.1|[49,-42,-13,-14,30,-2,-3,-2,1]
8.0.2702336256.1|[625,0,225,0,56,0,9,0,1]
8.0.2722334976.1|[5,-22,51,-70,66,-40,18,-4,1]
8.0.2869530624.2|[3,-18,45,-64,58,-34,16,-4,1]
8.0.2917030625.1|[16,-8,0,0,3,0,0,-1,1]
8.0.2939163125.1|[11,-12,16,-1,18,-7,4,-1,1]
8.0.2988262225.2|[16,0,4,0,1,0,1,0,1]
8.0.3016755625.1|[9,-12,2,20,37,18,5,-1,1]
8.0.3066612129.1|[1,0,13,0,27,0,10,0,1]
8.0.3098592225.1|[4,0,23,0,29,0,10,0,1]
8.0.3144306029.1|[31,37,15,18,24,-2,8,-1,1]
8.0.3200818237.1|[3,-19,52,-77,67,-37,17,-4,1]
8.0.3202654464.3|[484,0,496,0,165,0,22,0,1]
8.0.3220449001.1|[16,-8,-12,2,7,1,-3,-1,1]
8.0.3318796881.1|[4,0,43,0,38,0,11,0,1]
8.0.3340840000.1|[16,8,-4,16,22,-8,-1,-1,1]
8.0.3483358925.1|[7,-13,17,-7,13,-7,2,0,1]
8.0.3504640000.1|[49,-14,59,-28,25,-16,5,-2,1]
8.0.3524260153.1|[11,-12,26,3,9,-4,5,-2,1]
8.0.3552160000.4|[121,0,-127,0,58,0,-12,0,1]
8.0.3557883904.7|[289,0,-274,0,115,0,-18,0,1]
8.0.3587280896.2|[7,-26,53,-64,58,-34,16,-4,1]
8.0.3596497781.1|[4,-10,23,-26,27,-7,3,-2,1]
8.0.3629274669.1|[23,25,8,22,14,-2,7,-1,1]
8.0.3663275625.1|[361,-171,-109,-14,63,-2,-6,-2,1]
8.0.3695181824.1|[31,-32,60,-24,32,-8,8,0,1]
8.0.3706088125.1|[9,-42,80,-87,72,-37,17,-4,1]
8.0.3755360961.1|[1,1,6,-5,24,-2,5,0,1]
8.0.3755674117.1|[5,-21,48,-65,61,-37,17,-4,1]
8.0.3767425625.1|[25,-25,20,-15,21,-13,8,-3,1]
8.0.3782742016.1|[16,-16,4,-4,5,-2,1,-2,1]
8.0.3887771904.9|[576,0,672,0,217,0,26,0,1]
8.0.3909375625.1|[1,0,20,0,58,0,15,0,1]
8.0.3909375625.2|[5,-35,99,-144,113,-52,22,-4,1]
8.0.3948405248.1|[8,0,36,0,36,0,11,0,1]
8.0.4059346369.2|[81,-27,9,-15,4,-5,1,-1,1]
